seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
1687475184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9862,27,11.0548,254.7953,290,15,80,9.6932,6.9934,33.7052,39.3454,0,7.0000,1.0009
1687476184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8887,25,17.3416,383.1516,255,10,80,5.9857,4.1193,18.8659,26.3039,0,7.0000,0.8932
1687477184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1762,11,20.1109,777.8215,503,20,80,3.9986,2.1753,18.6000,25.0934,0,7.0000,1.2222
1687478184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9347,16,2.4867,85.6719,100,19,80,6.3310,4.3820,15.4754,16.8694,0,7.0000,0.9506
1687479184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0777,9,20.1140,774.4518,556,22,80,3.7365,2.5526,13.0705,14.1321,0,7.0000,1.1130
1687480184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.1575,23,20.1832,759.5555,400,23,80,5.7428,3.8476,17.8758,19.2101,0,7.0000,0.2285
1687481184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,35,0.7323,41,9.9173,237.4698,315,25,80,8.5743,5.8032,26.5295,37.2599,0,7.0000,0.7405
1687482184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1193,13,20.2539,754.3755,393,28,80,11.0849,7.5181,37.8592,45.2507,0,7.0000,1.1589
1687483184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2688,17,20.1614,787.1653,428,15,80,7.1390,4.2129,27.2285,43.9652,0,7.0000,1.3315
1687484184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1612,15,20.0992,753.8836,591,21,80,5.2009,3.7223,15.0166,19.8540,0,7.0000,1.2230
1687485184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9574,14,20.1068,767.8803,536,27,80,6.1110,3.7216,20.8667,23.2554,0,7.0000,1.0161
1687486184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.7012,21,2.2613,78.1128,107,23,80,8.1363,5.5780,21.2931,23.2109,0,7.0000,0.7139
1687487184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8722,30,2.7863,140.6033,148,15,80,6.3088,4.0567,15.5061,19.5447,0,7.0000,0.9010
1687488184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9430,13,16.8570,360.6569,347,28,80,5.7429,3.9365,14.6030,21.3182,0,7.0000,0.9469
1687489184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,32,0.8426,32,15.8479,371.5419,319,22,80,5.4032,3.7493,14.0298,14.7277,0,7.0000,0.8679
1687490184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0609,14,20.1712,757.8384,526,14,80,4.9998,3.6095,14.1927,16.5916,0,7.0000,1.0830
1687491184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,30,0.6681,40,13.3629,269.4803,203,43,80,4.6931,3.6421,13.3116,16.2384,0,7.0000,0.6746
1687492184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3259,14,20.1132,810.2574,632,24,80,4.4733,3.0423,13.9350,17.7805,0,7.0000,1.3520
1687493184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,19,0.6153,28,19.5774,510.6551,315,21,80,5.0031,3.5503,15.2907,18.9785,0,7.0000,0.6264
1687494184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0698,15,20.3011,589.9632,473,17,80,6.1855,4.5980,18.6369,24.0464,0,7.0000,1.0714
1687495184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,46,0.6272,61,2.8024,123.2187,134,30,80,7.4371,4.9224,16.1158,18.9877,0,7.0000,0.6501
1687496184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8891,16,2.4212,86.4813,147,21,80,6.1287,4.0105,15.0644,17.9804,0,7.0000,0.9186
